date,followers,likes,comments,shares,saves,views,impressions,reach,engagement_rate (%)
2025-01-01,20623,2346,175,73,198,16051,29621,28257,13.54
2025-01-02,85318,2795,198,27,142,50103,69936,53736,3.71
2025-01-03,80129,3563,201,136,267,76103,144957,126092,5.2
2025-01-04,11462,1992,278,30,188,10954,21362,15259,21.71
2025-01-05,86444,1501,81,56,25,118791,125351,91229,1.92
2025-01-06,6279,632,94,27,48,6414,6885,5145,12.76
2025-01-07,51640,10112,559,297,236,35640,64259,45577,21.7
2025-01-08,9127,897,72,16,29,11879,13294,10687,11.11
2025-01-09,9573,555,78,11,7,14081,23537,20781,6.8
2025-01-10,64762,11356,963,175,42,70961,89619,66442,19.36
2025-01-11,79878,12098,746,330,5,110744,141690,140376,16.5
2025-01-12,93848,11533,1144,29,967,79403,84403,68952,14.57
2025-01-13,38950,3593,279,60,83,23872,35604,28445,10.31
2025-01-14,52016,4615,534,125,103,68751,119864,94138,10.34
2025-01-15,36729,2438,145,30,82,32458,56745,49929,7.34
2025-01-16,55593,5808,784,14,483,55757,57083,46900,12.75
2025-01-17,28757,434,39,5,42,18856,27789,20704,1.81
2025-01-18,87433,12924,1714,282,1062,87789,93013,65348,18.28
2025-01-19,39119,488,68,2,41,54845,103432,73190,1.53
2025-01-20,11588,1089,58,21,21,11797,16116,14844,10.26
2025-01-21,39538,2907,341,96,45,48005,49166,40895,8.57
2025-01-22,88480,7959,757,35,630,132051,150732,125244,10.6
2025-01-23,81355,12345,1120,97,879,102902,106711,89808,17.75
2025-01-24,82527,6790,671,272,294,86785,170591,127786,9.73
2025-01-25,56347,2811,336,57,261,53879,87828,86988,6.15
2025-01-26,81302,13088,1889,644,408,62271,118595,118531,19.72
2025-01-27,55805,3946,470,8,315,72517,85151,68262,8.49
2025-01-28,66848,11742,1256,274,295,50676,54313,48344,20.3
2025-01-29,97490,18673,2739,883,1438,52769,53846,42600,24.34
2025-01-30,41679,8319,1125,366,282,44284,82872,58726,24.21
2025-01-31,33033,1107,125,1,59,21232,22111,15961,3.91
2025-02-01,51389,3890,518,25,275,55562,63840,58419,9.16
2025-02-02,3877,757,39,16,58,2445,3059,2956,22.44
2025-02-03,18962,384,49,11,27,16733,30517,30066,2.48
2025-02-04,26660,3194,230,139,68,19451,25806,21787,13.62
2025-02-05,76141,12073,1420,136,695,46220,78380,56361,18.81
2025-02-06,79355,3109,238,34,175,90193,110863,85660,4.48
2025-02-07,46210,1914,103,23,191,42867,55351,46778,4.83
2025-02-08,61265,8690,787,286,535,53723,63317,51268,16.81
2025-02-09,16129,1534,111,71,90,21726,31070,25848,11.2
2025-02-10,4010,663,88,8,63,4879,8950,6415,20.5
2025-02-11,35213,3430,308,37,38,34439,60602,51444,10.83
2025-02-12,20193,3368,477,154,203,10911,12311,9744,20.81
2025-02-13,91502,12566,1130,604,510,56350,95590,94332,16.19
2025-02-14,61209,6162,823,148,39,46251,87454,78184,11.72
2025-02-15,38822,2481,165,81,247,23625,23923,21360,7.66
2025-02-16,58583,10099,1351,21,12,82438,97587,77409,19.6
2025-02-17,36660,3585,398,82,160,32430,47399,44052,11.52
2025-02-18,83830,13315,1656,58,109,101964,109566,108991,18.06
